nombre,r,g,b
amarillo,185.97136389360497,162.75823429541595,64.41154499151104
morado,169.2545425179682,72.6143906969232,159.29483969958815
naranja,186.0907960199005,109.11034115138592,61.7181947405828
purpura,89.88585365853659,73.01348115299335,169.14873614190688
rojo,185.6096527208094,62.2599124965819,68.90114848236259
verde-azulado,61.29175537772557,185.25387269657148,138.99992658395126
verde-lima,138.62381309345326,184.94102948525736,61.60432283858071
